Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z,cost
25,0.31,Very Good,J,SI1,58.1,62.0,353,4.44,4.47,2.59,1.8202484574278421
26,0.23,Very Good,G,VVS2,60.4,58.0,354,3.97,4.01,2.41,6.544482082496362
27,0.24,Premium,I,VS1,62.5,57.0,355,3.97,3.94,2.47,6.702020459844977
28,0.3,Very Good,J,VS2,62.2,57.0,357,4.28,4.3,2.67,8.422119177168383
29,0.23,Very Good,D,VS2,60.5,61.0,357,3.96,3.97,2.4,7.373872411798929
30,0.23,Very Good,F,VS1,60.9,57.0,357,3.96,3.99,2.42,3.552819079280798
31,0.23,Very Good,F,VS1,60.0,57.0,402,4.0,4.03,2.41,4.6806262004990975
32,0.23,Very Good,F,VS1,59.8,57.0,402,4.04,4.06,2.42,7.228416059550894
33,0.23,Very Good,E,VS1,60.7,59.0,402,3.97,4.01,2.42,6.071104199419234
34,0.23,Very Good,E,VS1,59.5,58.0,402,4.01,4.06,2.4,7.1279055422355455
35,0.23,Very Good,D,VS1,61.9,58.0,402,3.92,3.96,2.44,5.2419807051584915
36,0.23,Good,F,VS1,58.2,59.0,402,4.06,4.08,2.37,6.940947007558166
37,0.23,Good,E,VS1,64.1,59.0,402,3.83,3.85,2.46,9.662214618741945
38,0.31,Good,H,SI1,64.0,54.0,402,4.29,4.31,2.75,4.118702653224867
39,0.26,Very Good,D,VS2,60.8,59.0,403,4.13,4.16,2.52,0.5193871744167522
40,0.33,Ideal,I,SI2,61.8,55.0,403,4.49,4.51,2.78,5.861979116457175
41,0.33,Ideal,I,SI2,61.2,56.0,403,4.49,4.5,2.75,6.011491605725972
42,0.33,Ideal,J,SI1,61.1,56.0,403,4.49,4.55,2.76,3.897061975110324
43,0.26,Good,D,VS2,65.2,56.0,403,3.99,4.02,2.61,4.316444992790471
44,0.26,Good,D,VS1,58.4,63.0,403,4.19,4.24,2.46,3.248385034515956
45,0.32,Good,H,SI2,63.1,56.0,403,4.34,4.37,2.75,3.548518801623274
46,0.29,Premium,F,SI1,62.4,58.0,403,4.24,4.26,2.65,1.519966686374291
47,0.32,Very Good,H,SI2,61.8,55.0,403,4.35,4.42,2.71,2.3429766498856885
48,0.32,Good,H,SI2,63.8,56.0,403,4.36,4.38,2.79,4.228614957831065
49,0.25,Very Good,E,VS2,63.3,60.0,404,4.0,4.03,2.54,9.426477846695498
50,0.29,Very Good,H,SI2,60.7,60.0,404,4.33,4.37,2.64,9.852230653832251
51,0.24,Very Good,F,SI1,60.9,61.0,404,4.02,4.03,2.45,8.232331473479906
52,0.23,Ideal,G,VS1,61.9,54.0,404,3.93,3.95,2.44,9.941354685654412
53,0.32,Ideal,I,SI1,60.9,55.0,404,4.45,4.48,2.72,0.9330558255352306
54,0.22,Premium,E,VS2,61.6,58.0,404,3.93,3.89,2.41,6.567383104932074
55,0.22,Premium,D,VS2,59.3,62.0,404,3.91,3.88,2.31,5.387831530203993
56,0.3,Ideal,I,SI2,61.0,59.0,405,4.3,4.33,2.63,5.892196688308202
57,0.3,Premium,J,SI2,59.3,61.0,405,4.43,4.38,2.61,1.5505112551993017
58,0.3,Very Good,I,SI1,62.6,57.0,405,4.25,4.28,2.67,6.2205141336875425
59,0.3,Very Good,I,SI1,63.0,57.0,405,4.28,4.32,2.71,4.594543349918422
60,0.3,Good,I,SI1,63.2,55.0,405,4.25,4.29,2.7,9.646223129685977
61,0.35,Ideal,I,VS1,60.9,57.0,552,4.54,4.59,2.78,6.139023302641511
62,0.3,Premium,D,SI1,62.6,59.0,552,4.23,4.27,2.66,0.329022896335589
63,0.3,Ideal,D,SI1,62.5,57.0,552,4.29,4.32,2.69,1.776991956698295
64,0.3,Ideal,D,SI1,62.1,56.0,552,4.3,4.33,2.68,9.806676506688934
65,0.42,Premium,I,SI2,61.5,59.0,552,4.78,4.84,2.96,5.875544449678304
66,0.28,Ideal,G,VVS2,61.4,56.0,553,4.19,4.22,2.58,0.9247436101146467
67,0.32,Ideal,I,VVS1,62.0,55.3,553,4.39,4.42,2.73,3.8111266014263134
68,0.31,Very Good,G,SI1,63.3,57.0,553,4.33,4.3,2.73,0.7556080081268524
69,0.31,Premium,G,SI1,61.8,58.0,553,4.35,4.32,2.68,9.036978525554526
70,0.24,Premium,E,VVS1,60.7,58.0,553,4.01,4.03,2.44,0.8826592116732257
71,0.24,Very Good,D,VVS1,61.5,60.0,553,3.97,4.0,2.45,7.069846052756197
72,0.3,Very Good,H,SI1,63.1,56.0,554,4.29,4.27,2.7,7.888537000989327
73,0.3,Premium,H,SI1,62.9,59.0,554,4.28,4.24,2.68,4.2545501687926555
74,0.3,Premium,H,SI1,62.5,57.0,554,4.29,4.25,2.67,6.796757512070387
75,0.3,Good,H,SI1,63.7,57.0,554,4.28,4.26,2.72,5.304283425961778
76,0.26,Very Good,F,VVS2,59.2,60.0,554,4.19,4.22,2.49,1.9038600892976254
77,0.26,Very Good,E,VVS2,59.9,58.0,554,4.15,4.23,2.51,9.637057012419913
78,0.26,Very Good,D,VVS2,62.4,54.0,554,4.08,4.13,2.56,9.195187950962039
79,0.26,Very Good,D,VVS2,62.8,60.0,554,4.01,4.05,2.53,2.503217577321836
80,0.26,Very Good,E,VVS1,62.6,59.0,554,4.06,4.09,2.55,7.612010733616815
81,0.26,Very Good,E,VVS1,63.4,59.0,554,4.0,4.04,2.55,7.164475017894558
82,0.26,Very Good,D,VVS1,62.1,60.0,554,4.03,4.12,2.53,2.913970111925636
83,0.26,Ideal,E,VVS2,62.9,58.0,554,4.02,4.06,2.54,8.012172806888074
84,0.38,Ideal,I,SI2,61.6,56.0,554,4.65,4.67,2.87,6.135196965992727
85,0.26,Good,E,VVS1,57.9,60.0,554,4.22,4.25,2.45,7.751090754477423
86,0.24,Premium,G,VVS1,62.3,59.0,554,3.95,3.92,2.45,0.0490214860903615
87,0.24,Premium,H,VVS1,61.2,58.0,554,4.01,3.96,2.44,9.241481063853193
88,0.24,Premium,H,VVS1,60.8,59.0,554,4.02,4.0,2.44,8.598692959614338
89,0.24,Premium,H,VVS2,60.7,58.0,554,4.07,4.04,2.46,2.716873082646286
90,0.32,Premium,I,SI1,62.9,58.0,554,4.35,4.33,2.73,1.892890245174258
91,0.7,Ideal,E,SI1,62.5,57.0,2757,5.7,5.72,3.57,3.4734260732144016
92,0.86,Fair,E,SI2,55.1,69.0,2757,6.45,6.33,3.52,6.07114969256846
93,0.7,Ideal,G,VS2,61.6,56.0,2757,5.7,5.67,3.5,1.349239295836171
94,0.71,Very Good,E,VS2,62.4,57.0,2759,5.68,5.73,3.56,9.529928218938291
95,0.78,Very Good,G,SI2,63.8,56.0,2759,5.81,5.85,3.72,9.810449624035796
96,0.7,Good,E,VS2,57.5,58.0,2759,5.85,5.9,3.38,1.5559624059590738
97,0.7,Good,F,VS1,59.4,62.0,2759,5.71,5.76,3.4,9.049754834815129
98,0.96,Fair,F,SI2,66.3,62.0,2759,6.27,5.95,4.07,7.444561069582585
99,0.73,Very Good,E,SI1,61.6,59.0,2760,5.77,5.78,3.56,6.471021381296898
100,0.8,Premium,H,SI1,61.5,58.0,2760,5.97,5.93,3.66,2.6942094847561417
101,0.75,Very Good,D,SI1,63.2,56.0,2760,5.8,5.75,3.65,4.511016314560285
102,0.75,Premium,E,SI1,59.9,54.0,2760,6.0,5.96,3.58,0.9863978987940003
103,0.74,Ideal,G,SI1,61.6,55.0,2760,5.8,5.85,3.59,6.047845495659168
104,0.75,Premium,G,VS2,61.7,58.0,2760,5.85,5.79,3.59,5.026431999959997
105,0.8,Ideal,I,VS1,62.9,56.0,2760,5.94,5.87,3.72,4.652996633602897
106,0.75,Ideal,G,SI1,62.2,55.0,2760,5.87,5.8,3.63,8.11442501242282
107,0.8,Premium,G,SI1,63.0,59.0,2760,5.9,5.81,3.69,2.8439443460927483
108,0.74,Ideal,I,VVS2,62.3,55.0,2761,5.77,5.81,3.61,1.7013387712033479
109,0.81,Ideal,F,SI2,58.8,57.0,2761,6.14,6.11,3.6,6.4815224986588635
110,0.59,Ideal,E,VVS2,62.0,55.0,2761,5.38,5.43,3.35,3.993089996647865
111,0.8,Ideal,F,SI2,61.4,57.0,2761,5.96,6.0,3.67,5.782808722224192
112,0.74,Ideal,E,SI2,62.2,56.0,2761,5.8,5.84,3.62,1.0919454398589723
113,0.9,Premium,I,VS2,63.0,58.0,2761,6.16,6.12,3.87,7.888572187996177
114,0.74,Very Good,G,SI1,62.2,59.0,2762,5.73,5.82,3.59,7.444752309960606
115,0.73,Ideal,F,VS2,62.6,56.0,2762,5.77,5.74,3.6,0.1623970994105539
116,0.73,Ideal,F,VS2,62.7,53.0,2762,5.8,5.75,3.62,2.9507889802568146
117,0.8,Premium,F,SI2,61.7,58.0,2762,5.98,5.94,3.68,6.238816686324259
118,0.71,Ideal,G,VS2,62.4,54.0,2762,5.72,5.76,3.58,2.797649507447434
119,0.7,Ideal,E,VS2,60.7,58.0,2762,5.73,5.76,3.49,4.28093884697172
120,0.8,Ideal,F,SI2,59.9,59.0,2762,6.01,6.07,3.62,0.971544825623929
121,0.71,Ideal,D,SI2,62.3,56.0,2762,5.73,5.69,3.56,9.657638194797828
122,0.74,Ideal,E,SI1,62.3,54.0,2762,5.8,5.83,3.62,7.631093324380917
123,0.7,Very Good,F,VS2,61.7,63.0,2762,5.64,5.61,3.47,8.70288487469302
124,0.7,Fair,F,VS2,64.5,57.0,2762,5.57,5.53,3.58,3.84384445748584
125,0.7,Fair,F,VS2,65.3,55.0,2762,5.63,5.58,3.66,1.4200802119417788
126,0.7,Premium,F,VS2,61.6,60.0,2762,5.65,5.59,3.46,4.816081731704309
127,0.91,Premium,H,SI1,61.4,56.0,2763,6.09,5.97,3.7,7.407747999025313
128,0.61,Very Good,D,VVS2,59.6,57.0,2763,5.56,5.58,3.32,6.443181063027344
129,0.91,Fair,H,SI2,64.4,57.0,2763,6.11,6.09,3.93,6.467387500469174
130,0.91,Fair,H,SI2,65.7,60.0,2763,6.03,5.99,3.95,5.916034439699606
131,0.77,Ideal,H,VS2,62.0,56.0,2763,5.89,5.86,3.64,8.172023849296771
132,0.71,Very Good,D,SI1,63.6,58.0,2764,5.64,5.68,3.6,7.349075869955338
133,0.71,Ideal,D,SI1,61.9,59.0,2764,5.69,5.72,3.53,9.914480443489834
134,0.7,Very Good,E,VS2,62.6,60.0,2765,5.62,5.65,3.53,8.765020775795076
135,0.77,Very Good,H,VS1,61.3,60.0,2765,5.88,5.9,3.61,2.2213029076428215
136,0.63,Premium,E,VVS1,60.9,60.0,2765,5.52,5.55,3.37,7.552727271468869
137,0.71,Very Good,F,VS1,60.1,62.0,2765,5.74,5.77,3.46,2.3578329718054736
138,0.71,Premium,F,VS1,61.8,59.0,2765,5.69,5.73,3.53,2.1268685399330858
139,0.76,Ideal,H,SI1,61.2,57.0,2765,5.88,5.91,3.61,6.995242069478364
140,0.64,Ideal,G,VVS1,61.9,56.0,2766,5.53,5.56,3.43,3.377750698471936
141,0.71,Premium,G,VS2,60.9,57.0,2766,5.78,5.75,3.51,7.690132479928287
142,0.71,Premium,G,VS2,59.8,56.0,2766,5.89,5.81,3.5,0.09335026806346458
143,0.7,Very Good,D,VS2,61.8,55.0,2767,5.68,5.72,3.52,7.104123524438065
144,0.7,Very Good,F,VS1,60.0,57.0,2767,5.8,5.87,3.5,3.1894073609956397
145,0.71,Ideal,D,SI2,61.6,55.0,2767,5.74,5.76,3.54,2.969488410482788
146,0.7,Good,H,VVS2,62.1,64.0,2767,5.62,5.65,3.5,3.760515644769795
147,0.71,Very Good,G,VS1,63.3,59.0,2768,5.52,5.61,3.52,7.752776514901941
148,0.73,Very Good,D,SI1,60.2,56.0,2768,5.83,5.87,3.52,2.841571297025137
149,0.7,Very Good,D,SI1,61.1,58.0,2768,5.66,5.73,3.48,9.900485331879342
150,0.7,Ideal,E,SI1,60.9,57.0,2768,5.73,5.76,3.5,1.5077735078354693
151,0.71,Premium,D,SI2,61.7,59.0,2768,5.71,5.67,3.51,1.305808531204966
152,0.74,Ideal,I,SI1,61.3,56.0,2769,5.82,5.86,3.57,5.764431529384045
153,0.71,Premium,D,VS2,62.5,60.0,2770,5.65,5.61,3.52,8.147477536305557
154,0.73,Premium,G,VS2,61.4,59.0,2770,5.83,5.76,3.56,8.90913181386565
155,0.76,Very Good,F,SI1,62.9,57.0,2770,5.79,5.81,3.65,1.642451637442297
156,0.76,Ideal,D,SI2,62.4,57.0,2770,5.78,5.83,3.62,1.6818537194943461
157,0.71,Ideal,F,SI1,60.7,56.0,2770,5.77,5.8,3.51,6.958752333802557
158,0.73,Premium,G,VS2,60.7,58.0,2770,5.87,5.82,3.55,9.900775442341867
159,0.73,Premium,G,VS1,61.5,58.0,2770,5.79,5.75,3.55,8.87034668563719
160,0.73,Ideal,D,SI2,59.9,57.0,2770,5.92,5.89,3.54,9.740057243382713
161,0.73,Premium,G,VS2,59.2,59.0,2770,5.92,5.87,3.49,2.7181417820907052
162,0.72,Very Good,H,VVS2,60.3,56.0,2771,5.81,5.83,3.51,8.865975984495092
163,0.73,Very Good,F,SI1,61.7,60.0,2771,5.79,5.82,3.58,8.541785347527082
164,0.71,Ideal,G,VS2,61.9,57.0,2771,5.73,5.77,3.56,8.66827461485111
165,0.79,Ideal,F,SI2,61.9,55.0,2771,5.97,5.92,3.68,2.0327742978717565
166,0.73,Very Good,H,VVS1,60.4,59.0,2772,5.83,5.89,3.54,8.374140453354
167,0.8,Very Good,F,SI2,61.0,57.0,2772,6.01,6.03,3.67,1.1954098450347628
168,0.58,Ideal,G,VVS1,61.5,55.0,2772,5.39,5.44,3.33,3.0619936307651208
169,0.58,Ideal,F,VVS1,61.7,56.0,2772,5.33,5.37,3.3,5.708770140803963
170,0.71,Good,E,VS2,59.2,61.0,2772,5.8,5.88,3.46,7.4154676457049815
171,0.75,Ideal,D,SI2,61.3,56.0,2773,5.85,5.89,3.6,7.742636581628871
172,0.7,Premium,D,VS2,58.0,62.0,2773,5.87,5.78,3.38,8.831831304926931
173,1.17,Very Good,J,I1,60.2,61.0,2774,6.83,6.9,4.13,3.9887177832247844
174,0.6,Ideal,E,VS1,61.7,55.0,2774,5.41,5.44,3.35,5.225526604754384
175,0.7,Ideal,E,SI1,62.7,55.0,2774,5.68,5.74,3.58,8.408788124973439
176,0.83,Good,I,VS2,64.6,54.0,2774,5.85,5.88,3.79,3.6174644430322123
177,0.74,Very Good,F,VS2,61.3,61.0,2775,5.8,5.84,3.57,7.9702690630698125
178,0.72,Very Good,G,VS2,63.7,56.4,2776,5.62,5.69,3.61,3.2518502766926027
179,0.71,Premium,E,VS2,62.7,58.0,2776,5.74,5.68,3.58,6.124128114929837
180,0.71,Ideal,E,VS2,62.2,57.0,2776,5.79,5.62,3.55,2.538574057474834
181,0.54,Ideal,E,VVS2,61.6,56.0,2776,5.25,5.27,3.24,7.843856636854708
182,0.54,Ideal,E,VVS2,61.5,57.0,2776,5.24,5.26,3.23,9.525174559802313
183,0.72,Ideal,G,SI1,61.8,56.0,2776,5.72,5.75,3.55,1.2815669123838858
184,0.72,Ideal,G,SI1,60.7,56.0,2776,5.79,5.82,3.53,4.294704420843817
185,0.72,Good,G,VS2,59.7,60.5,2776,5.8,5.84,3.47,1.4727847178775932
186,0.71,Ideal,G,SI1,60.5,56.0,2776,5.8,5.76,3.5,0.2705181485044905
187,0.7,Very Good,D,VS1,62.7,58.0,2777,5.66,5.73,3.57,5.099080852446391
188,0.71,Premium,F,VS2,62.1,58.0,2777,5.67,5.7,3.53,5.724999744829377
189,0.71,Very Good,F,VS2,62.8,57.0,2777,5.64,5.69,3.56,2.006013826414578
190,0.71,Good,F,VS2,63.8,58.0,2777,5.61,5.64,3.59,1.4911504119928498
191,0.71,Good,F,VS2,57.8,60.0,2777,5.87,5.9,3.4,0.36154420792178454
192,0.7,Ideal,E,VS2,62.1,55.0,2777,5.7,5.67,3.53,0.9894761411496733
193,0.7,Premium,E,VS2,61.1,60.0,2777,5.71,5.64,3.47,7.008869049085887
194,0.7,Premium,E,SI1,60.0,59.0,2777,5.79,5.75,3.46,4.045414110127778
195,0.7,Premium,E,SI1,61.2,57.0,2777,5.73,5.68,3.49,6.827986902809987
196,0.7,Premium,E,SI1,62.7,59.0,2777,5.67,5.63,3.54,8.903091057911864
197,0.7,Premium,E,SI1,61.0,57.0,2777,5.73,5.68,3.48,0.47751180760054135
198,0.7,Premium,E,SI1,61.0,58.0,2777,5.78,5.72,3.51,2.2211571631121707
199,0.7,Ideal,E,SI1,61.4,57.0,2777,5.76,5.7,3.52,2.6045895341135585
200,0.72,Premium,F,SI1,61.8,61.0,2777,5.82,5.71,3.56,9.121367834350592
201,0.7,Very Good,E,SI1,59.9,63.0,2777,5.76,5.7,3.43,0.437657017669546
202,0.7,Premium,E,SI1,61.3,58.0,2777,5.71,5.68,3.49,8.890028803446075
203,0.7,Premium,E,SI1,60.5,58.0,2777,5.77,5.74,3.48,3.6149340934799454
204,0.7,Good,E,VS2,64.1,59.0,2777,5.64,5.59,3.6,2.9235615431166573
205,0.98,Fair,H,SI2,67.9,60.0,2777,6.05,5.97,4.08,6.074277152054275
206,0.78,Premium,F,SI1,62.4,58.0,2777,5.83,5.8,3.63,0.38108276195163215
207,0.7,Very Good,E,SI1,63.2,60.0,2777,5.6,5.51,3.51,4.880792818164112
208,0.52,Ideal,F,VVS1,61.3,55.0,2778,5.19,5.22,3.19,3.1396206772281223
209,0.73,Very Good,H,VS2,60.8,56.0,2779,5.82,5.84,3.55,6.640249017965156
210,0.74,Ideal,E,SI1,61.7,56.0,2779,5.84,5.8,3.59,9.608549651151016
211,0.7,Very Good,F,VS2,63.6,57.0,2780,5.61,5.65,3.58,1.7390078694528721
212,0.77,Premium,G,VS2,61.2,58.0,2780,5.9,5.93,3.62,8.451026731486325
213,0.71,Ideal,F,VS2,62.1,54.0,2780,5.68,5.72,3.54,3.9414477631422065
214,0.74,Ideal,G,VS1,61.5,55.0,2780,5.81,5.86,3.59,6.388421702453837
215,0.7,Ideal,G,VS1,61.4,59.0,2780,5.64,5.73,3.49,7.714118375363011
216,1.01,Premium,F,I1,61.8,60.0,2781,6.39,6.36,3.94,6.562288156973818
217,0.77,Ideal,H,SI1,62.2,56.0,2781,5.83,5.88,3.64,0.09958867134679417
218,0.78,Ideal,H,SI1,61.2,56.0,2781,5.92,5.99,3.64,0.6415827924170769
219,0.72,Very Good,H,VS1,60.6,63.0,2782,5.83,5.76,3.51,8.352012601352243
220,0.53,Very Good,D,VVS2,57.5,64.0,2782,5.34,5.37,3.08,4.78600119220502
221,0.76,Ideal,G,VS2,61.3,56.0,2782,5.9,5.94,3.63,5.701008109806186
222,0.7,Good,E,VS1,57.2,62.0,2782,5.81,5.77,3.31,0.65276814185797
223,0.7,Premium,E,VS1,62.9,60.0,2782,5.62,5.54,3.51,1.682689107173565
224,0.75,Very Good,D,SI2,63.1,58.0,2782,5.78,5.73,3.63,7.311260062255855
225,0.72,Ideal,D,SI1,60.8,57.0,2782,5.76,5.75,3.5,9.039288313261615
226,0.72,Premium,D,SI1,62.7,59.0,2782,5.73,5.69,3.58,7.7106840674296
227,0.7,Premium,D,SI1,62.8,60.0,2782,5.68,5.66,3.56,9.11387068990063
228,0.84,Fair,G,SI1,55.1,67.0,2782,6.39,6.2,3.47,9.406069515069099
229,0.75,Premium,F,SI1,61.4,59.0,2782,5.88,5.85,3.6,3.191619768934788
230,0.52,Ideal,F,IF,62.2,55.0,2783,5.14,5.18,3.21,7.513313956331263
231,0.72,Very Good,F,VS2,63.0,54.0,2784,5.69,5.73,3.6,9.935610261692817
232,0.79,Very Good,H,VS1,63.7,56.0,2784,5.85,5.92,3.75,8.911540872200442
233,0.72,Very Good,F,VS2,63.6,58.0,2787,5.66,5.69,3.61,0.681188746844904
234,0.51,Ideal,F,VVS1,62.0,57.0,2787,5.11,5.15,3.18,0.4465327601256819
235,0.64,Ideal,D,VS1,61.5,56.0,2787,5.54,5.55,3.41,2.7392564575871594
236,0.7,Very Good,H,VVS1,60.5,60.0,2788,5.74,5.77,3.48,3.1103351513125013
237,0.83,Very Good,I,VS1,61.1,60.0,2788,6.07,6.1,3.72,3.349982558200546
238,0.76,Ideal,I,VVS2,61.8,56.0,2788,5.85,5.87,3.62,1.2553790781042051
239,0.71,Good,D,VS2,63.3,56.0,2788,5.64,5.68,3.58,2.499104548826768
240,0.77,Good,G,VS1,59.4,64.0,2788,5.97,5.92,3.53,5.584516582119912
241,0.71,Ideal,F,SI1,62.5,55.0,2788,5.71,5.65,3.55,8.63317550246586
242,1.01,Fair,E,I1,64.5,58.0,2788,6.29,6.21,4.03,8.8392040021005
243,1.01,Premium,H,SI2,62.7,59.0,2788,6.31,6.22,3.93,8.00310943509219
244,0.77,Good,F,SI1,64.2,52.0,2789,5.81,5.77,3.72,9.287531000519484
245,0.76,Good,E,SI1,63.7,54.0,2789,5.76,5.85,3.7,1.8050424842603974
246,0.76,Premium,E,SI1,60.4,58.0,2789,5.92,5.94,3.58,0.1856547956616872
247,0.76,Premium,E,SI1,61.8,58.0,2789,5.82,5.86,3.61,9.787910151510932
248,1.05,Very Good,J,SI2,63.2,56.0,2789,6.49,6.45,4.09,1.9811706169369392
249,0.81,Ideal,G,SI2,61.6,56.0,2789,5.97,6.01,3.69,2.1109887908311995
250,0.7,Ideal,E,SI1,61.6,56.0,2789,5.72,5.75,3.53,8.689607663359602
251,0.55,Ideal,G,IF,60.9,57.0,2789,5.28,5.3,3.22,2.792413665722692
252,0.81,Good,G,SI2,61.0,61.0,2789,5.94,5.99,3.64,2.4722657231027814
253,0.63,Premium,E,VVS2,62.1,57.0,2789,5.48,5.41,3.38,8.688216411257649
254,0.63,Premium,E,VVS1,60.9,60.0,2789,5.55,5.52,3.37,2.612043775471904
255,0.77,Premium,H,VS1,61.3,60.0,2789,5.9,5.88,3.61,3.0843469918950506
256,1.05,Fair,J,SI2,65.8,59.0,2789,6.41,6.27,4.18,3.639917227500775
257,0.64,Ideal,G,IF,61.3,56.0,2790,5.54,5.58,3.41,0.9026755850839929
258,0.76,Premium,I,VVS1,58.8,59.0,2790,6.0,5.94,3.51,9.136212642391833
259,0.83,Ideal,F,SI2,62.3,55.0,2790,6.02,6.05,3.76,2.786804696122356
260,0.71,Premium,F,VS1,60.1,62.0,2790,5.77,5.74,3.46,4.821312464858794
261,0.71,Premium,F,VS1,61.8,59.0,2790,5.73,5.69,3.53,1.7121013905941929
262,0.87,Very Good,I,SI1,63.6,55.8,2791,6.07,6.1,3.87,8.040132583487619
263,0.73,Ideal,E,SI1,62.2,56.0,2791,5.74,5.78,3.58,5.5308643791467205
264,0.71,Premium,E,SI1,59.2,59.0,2792,5.83,5.86,3.46,0.623788028823935
265,0.71,Premium,E,SI1,61.8,59.0,2792,5.7,5.75,3.54,3.041442841233927
266,0.71,Ideal,E,SI1,61.3,55.0,2792,5.72,5.77,3.52,8.484504091689384
267,0.7,Premium,F,VS1,62.1,60.0,2792,5.71,5.65,3.53,1.7352774105740498
268,0.7,Premium,F,VS1,60.7,60.0,2792,5.78,5.75,3.5,7.444778518134348
269,0.76,Premium,H,VVS2,59.6,57.0,2792,5.91,5.86,3.51,4.31545648318977
270,0.7,Ideal,F,VS1,62.2,56.0,2792,5.73,5.68,3.55,6.87893946332674
271,0.79,Very Good,G,SI1,60.6,57.0,2793,5.98,6.06,3.65,9.395686508272167
272,0.7,Very Good,E,VS2,62.9,57.0,2793,5.66,5.69,3.57,3.011201851466734
273,0.7,Good,E,VS2,64.1,55.0,2793,5.6,5.66,3.61,7.4892810109942545
274,0.76,Ideal,I,VS2,61.3,56.0,2793,5.87,5.91,3.61,1.9448089467400542
275,0.73,Ideal,H,VS2,62.7,55.0,2793,5.72,5.76,3.6,3.412663207833683
276,0.79,Very Good,E,SI1,63.2,56.0,2794,5.91,5.86,3.72,5.652076076533029
277,0.71,Very Good,E,VS2,60.7,56.0,2795,5.81,5.82,3.53,9.854417886745638
278,0.81,Premium,I,VVS2,61.9,60.0,2795,5.91,5.86,3.64,3.0036778505079553
279,0.81,Ideal,F,SI2,62.6,55.0,2795,5.92,5.96,3.72,3.545504647254669
280,0.72,Good,F,VS1,60.7,60.0,2795,5.74,5.72,3.48,9.0218902289635
281,0.72,Premium,D,SI2,62.0,60.0,2795,5.73,5.69,3.54,3.1150682690926565
282,0.72,Premium,I,IF,63.0,57.0,2795,5.72,5.7,3.6,2.4304554549381607
283,0.81,Premium,H,VS2,58.0,59.0,2795,6.17,6.13,3.57,3.9568203998135676
284,0.72,Premium,G,VS2,62.9,57.0,2795,5.73,5.65,3.58,8.892707175073426
285,1.0,Premium,I,SI2,58.2,60.0,2795,6.61,6.55,3.83,2.386375684415344
286,0.73,Good,E,SI1,63.2,58.0,2796,5.7,5.76,3.62,7.764237671833024
287,0.81,Very Good,H,SI2,61.3,59.0,2797,5.94,6.01,3.66,6.942342784600253
288,0.81,Very Good,E,SI1,60.3,60.0,2797,6.07,6.1,3.67,0.07363017744311584
289,0.71,Premium,D,SI1,62.7,60.0,2797,5.67,5.71,3.57,0.6983106465670563
290,0.71,Premium,D,SI1,61.3,58.0,2797,5.73,5.75,3.52,5.447637287983129
291,0.71,Premium,D,SI1,61.6,60.0,2797,5.74,5.69,3.52,8.223334292273169
292,0.57,Ideal,F,VVS2,61.9,55.0,2797,5.34,5.35,3.31,4.542421556157622
